,title,price,condition,bids,sold date,postage
0,MSI GeForce GTX 1060 ARMOR 6G Graphics Card,115.0,Pre-owned,11 bids,09-Aug 15:11,4.10
1,MSI GF GTX 1060 ARMOR 6G OCV1 NVIDIA GeForce GTX 1060 6GB GDDR5 VR Graphics Card,160.0,Pre-owned,5 bids,05-Aug 17:03,4.50
4,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,128.0,Pre-owned,20 bids,28-Jul 19:00,4.10
5,MSI GeForce GTX 1060 ARMOR 6G Graphics Card,132.0,Pre-owned,15 bids,27-Jul 10:19,4.10
7,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,139.0,Pre-owned,23 bids,18-Jul 20:27,4.10
8,MSI Armor geforce gtx 1060 6gb OCV1,122.01,Pre-owned,9 bids,18-Jul 17:11,9.99
9,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,137.0,Pre-owned,17 bids,11-Jul 18:48,4.10
10,MSI NVIDIA GTX 1060 ARMOR OC 6GB,149.87,Pre-owned,10 bids,05-Jul 18:07,3.95
11,MSI GeForce GTX 1060  6 GB ARMOR Graphics Card GPU ,135.0,Pre-owned,23 bids,05-Jul 13:44,Free
12,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,139.0,Pre-owned,14 bids,04-Jul 18:11,4.10
14,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,135.0,Pre-owned,17 bids,27-Jun 14:20,4.10
15,MSI GeForce GTX 1060 3gb Armor OCV1,98.8,Pre-owned,7 bids,26-Jun 21:32,3.70
16,Graphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,137.0,Pre-owned,11 bids,20-Jun 13:59,4.10
17,MSI GeForce GTX 1060 ARMOR 6GB GDDR5 OC Graphics Card,155.0,Pre-owned,*Buy Now*,18-Jun 20:25,5.00
18,MSI Gaming Armor GeForce GTX 1060 6GB GDDR5 GTX1060 Armor 6G OC Graphics Card,159.99,Pre-owned,*Buy Now*,18-Jun 11:40,Free
19,MSI NVIDIA GeForce GTX 1060 ARMOR 6GB OC Edition Graphics Card,155.0,Pre-owned,1 bid,17-Jun 19:30,4.00
20,MSI Nvidia Geforce GTX 1060 Armor 6GB,135.0,Pre-owned,7 bids,16-Jun 12:18,3.70
21,MSI ARMOR OC - NVIDIA GeForce GTX 1060 3GB GDDR5 Graphics Card GPU -GTX10603GTOC,105.0,Pre-owned,10 bids,15-Jun 21:20,Free
22,MSI GeForce GTX 1060 ARMOR 6GB OCV1 graphics card,133.0,Pre-owned,20 bids,14-Jun 18:54,4.97
23,MSI GeForce GTX 1060 ARMOR 6GB OCV1 graphics card,142.0,Pre-owned,14 bids,13-Jun 13:04,4.10
24,MSI NVIDIA GeForce GTX 1060 6GB ARMOR OC Graphics Card,144.0,Pre-owned,27 bids,11-Jun 19:54,8.00
25,MSI ARMOR OC - NVIDIA GeForce GTX 1060 3GB GDDR5 Graphics Card GPU -GTX10603GTOC,92.0,Pre-owned,4 bids,07-Jun 13:53,Free
27,MSI GeForce GTX 1060 3GB - Armor - Used ,91.7,Pre-owned,10 bids,02-Jun 06:32,5.90
28,Video card MSI Armor GTX 1060 3GB,107.0,Pre-owned,*Buy Now*,02-Jun 01:40,7.90
29,MSI NVIDIA GeForce GTX 1060 ARMOR 6GB OC Edition Graphics Card,127.0,Pre-owned,3 bids,31-May 11:58,Free
30,Video card GTX 1060 3GB MSI Armor,109.0,Pre-owned,*Buy Now*,30-May 14:01,6.90
31,Video card GTX 1060 3GB MSI Armor,119.0,Pre-owned,*Buy Now*,29-May 08:46,6.90
32,MSI NVIDIA GeForce GTX 1060 6GB ARMOR OC Graphics Card,159.99,Pre-owned,*Buy Now*,27-May 15:45,Free
33,MSI NVIDIA GeForce GTX 1060 Armor 3GB OC EDITION GDDR5 Graphics Card (V330-033),134.0,Refurbished,41 bids,16-May 20:01,5.00
0,New listingGraphics card MSI GeForce GTX 1060 ARMOR 6GB OCV1,120.0,Pre-owned,*Buy Now*,23-Aug 15:49,3.70
