,title,price,condition,bids,sold date,postage
0,MSI Radeon RX 580 GAMING X 8 GB GDDR5 2xDP/2xHDMI/DVI-D Graphics Card,147.0,Opened – never used,40 bids,10-Aug 21:45,Free
1,XFX AMD Radeon RX 580 GT S XXX (8192 MB) (RX-580P8DFD6) Graphics Card,115.0,Pre-owned,*Buy Now*,10-Aug 20:56,4.10
3,Sapphire Pulse AMD Radeon RX 580 4gb ,104.0,Refurbished,18 bids,10-Aug 20:10,6.00
5,Sapphire AMD Radeon™ Pulse RX 580 8GB,122.0,Pre-owned,12 bids,10-Aug 19:15,4.99
6,MSI Radeon RX 580 ARMOR 8G OC Graphics Card - Pre Used but good condition,126.5,Pre-owned,12 bids,10-Aug 19:00,4.10
7,Sapphire Pulse Radeon RX 580 8GB GDDR5 OC Dual HDMI DVI-D Dual DP EGPU OSX MAC13,179.99,Brand new,*Buy Now*,10-Aug 18:31,Free
8,XFX AMD Radeon RX 580 GT S XXX (8192 MB) (RX-580P8DFD6) Graphics Card,100.0,Pre-owned,12 bids,10-Aug 17:17,5.10
9,ASUS Radeon RX 580 8GB OC edition 99p Auction L@@k!!,117.0,Pre-owned,25 bids,10-Aug 17:12,7.28
10,Saphire Pulse Radeon RX 580 8gb,117.0,Pre-owned,14 bids,10-Aug 16:34,9.02
11,Sapphire Radeon RX 580 4GB GDDR5 Graphics Card (11265-07-20G),89.99,Pre-owned,*Buy Now*,10-Aug 16:27,postage not found
12,MSI Radeon RX 580 8 GB Armor OC Graphics Card - Currys,160.0,Brand new,*Buy Now*,10-Aug 14:31,Free
13,XFX AMD Radeon RX 580 4 GB GDDR5 - Black,91.99,Pre-owned,*Buy Now*,10-Aug 13:13,7.49
14,ASUS Radeon RX 580 Dual 8GB OC Graphics Card AMD Radeon RX 580 8GB GDDR6 Memory,125.0,Brand new,11 bids,10-Aug 11:16,Free
15,ASUS Radeon RX 580 Dual OC Edition 4GB GDDR5 Graphics Card ,100.0,Pre-owned,*Buy Now*,10-Aug 02:16,Free
16,ASUS Radeon RX 580 Dual OC Edition 4GB GDDR5 Graphics Card (90YV0AQ0-M0NA00),85.0,Pre-owned,1 bid,10-Aug 01:46,10.00
17,SAPPHIRE 11265-01-20G Radeon RX 580 8GB GDDR5 Graphics Card,120.0,Pre-owned,1 bid,09-Aug 21:01,3.70
