,title,price,condition,bids,sold date,postage
1,ASROCK Z77 Extreme4  SOCKET 1155 MOTHERBOARD,45.0,Pre-owned,33 bids,07-Aug 17:38,Free
2,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",67.99,Pre-owned,14 bids,05-Aug 09:15,6.00
3,Original ASRock Z77 Extreme4 Intel Z77 Motherboard LGA 1155 DDR3,99.61,Refurbished,*Buy Now*,03-Aug 08:58,Free
4,ASROCK Z77 Extreme4  SOCKET 1155 MOTHERBOARD,114.95,Pre-owned,*Buy Now*,11-Jul 18:44,Free
5,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",70.0,Pre-owned,*Buy Now*,08-Jul 10:27,5.57
7,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",99.99,Pre-owned,*Buy Now*,02-Jul 08:03,Free
8,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",52.0,Pre-owned,5 bids,26-Jun 17:53,Free
9,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",82.0,Pre-owned,26 bids,22-Jun 12:57,5.57
10,ASROCK Z77 Extreme4 SOCKET 1155 MOTHERBOARD,114.95,Pre-owned,*Buy Now*,22-Jun 11:02,Free
11,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",93.0,Pre-owned,19 bids,20-Jun 15:25,5.50
12,Intel i5-2500k Processor & ASRock Z77 Extreme4 Motherboard BUNDLE,99.0,Pre-owned,5 bids,19-Jun 19:01,4.10
14,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",119.99,Pre-owned,*Buy Now*,08-Jun 17:43,Free
15,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel Motherboard",51.0,Pre-owned,14 bids,06-Jun 18:04,5.57
17,"AsRock Z77 Extreme4 Motherboard (Socket 1155, Intel Z77, Up to 32GB DDR3, ATX)",65.0,Pre-owned,9 bids,31-May 22:29,3.50
19,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",119.99,Pre-owned,*Buy Now*,27-May 08:43,Free
20,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",110.0,Pre-owned,*Buy Now*,26-May 11:43,Free
21,"ASRock Z77 Extreme4-m motherboard, LGA 1155, Intel, micro atx",72.0,Pre-owned,*Buy Now*,22-May 00:11,Free
22,"ASRock Z77 Extreme4, LGA 1155, Intel Motherboard***NO CPU INCLUDED***",70.0,Pre-owned,17 bids,15-May 20:00,5.57
23,"ASRock Z77 Extreme4, LGA 1155, Intel Motherboard includes IO Shield",119.99,Pre-owned,*Buy Now*,13-May 16:54,4.99
24,"ASRock Z77 Extreme4, LGA 1155, Intel (90-MXGKS0-A0UAYZ) Motherboard",80.45,Pre-owned,*Buy Now*,10-Aug 00:25,42.14
25,Manual & DVD ASRock z77 Extreme 6 tb4 * Perfect * Desktop PC Installation Guide,8.12,New (other),1 bid,06-Aug 21:18,5.33
26,ASRock Motherboard Z77 Extreme4 LGA 1155 Intel Z77 Chipset DDR3 ATX,86.58,Refurbished,*Buy Now*,03-Aug 20:25,13.02
27,ASRock z77 Extreme 4 Intel z77 Motherboard ATX Socket 1155 #33094,91.09,Pre-owned,*Buy Now*,30-Jul 14:36,17.07
28,"ASRock Z77 Extreme 4, LGA 1155/Socket H2, Intel Motherboard",65.9,Pre-owned,15 bids,27-Jul 22:24,24.19
30,ASRock Z77 Extreme4 motherboard + i7-3770K processor + 16GB RAM,126.43,Pre-owned,29 bids,25-Jul 20:35,25.20
31,"ASRock Z77 Extreme4, LGA 1155, Intel (90-MXGKX0-A0UAYZ) Motherboard",122.59,Refurbished,*Buy Now*,19-Jul 22:35,27.58
32,ASRock Z77 Extreme 4 LGA 1155 Intel Z77 HDMI SATA 6Gb/s USB 3.0 ATX Motherboard Top,81.28,Pre-owned,*Buy Now*,11-Jul 13:34,16.26
33,	ASRock Motherboard Z77 Extreme4 LGA 1155 Z77 Chipset DDR3 ATX,58.23,Pre-owned,9 bids,05-Jul 22:46,21.01
35,"ASRock Z77 Extreme 6, LGA 1155/Socket H2, Intel Motherboard With I5-3570k.",70.49,Pre-owned,12 bids,01-Jul 03:28,33.25
36,asrock z77 extreme4 atx lga1155 motherboard with intel i5 2500k,57.47,Pre-owned,8 bids,24-Jun 23:08,33.41
37,"ASRock Z77 Extreme 4, LGA 1155/Socket H2, Intel (90-MXGKX0 - a 0 UAYZ) Motherboard",74.07,Pre-owned,51 bids,14-Jun 18:57,19.87
38,ASRock Z77 Extreme4 LGA 1155 Motherboard with Intel i7-3770k,86.2,Pre-owned,18 bids,08-Jun 01:16,29.78
39,Asrock Z77 Extreme4 Motherboard - LG1155 Intel Z77,65.99,Pre-owned,2 bids,07-Jun 04:46,29.70
41,"ASRock Z77 Extreme4, LGA 1155, Intel (90-MXGKX0-A0UAYZ) Motherboard",62.06,Pre-owned,6 bids,02-Jun 11:00,29.38
42,ASRock z77 Extreme 4-m socket 1155,90.33,Refurbished,*Buy Now*,01-Jun 20:33,19.87
