,title,price,condition,bids,sold date,postage
0,"PowerColor Radeon RX 570 Red Dragon, 4GB GDDR5",70.0,Pre-owned,*Buy Now*,23-Aug 20:45,17.00
1,Perfect Condition GIGABYTE Radeon RX 570 4GB Video Card (GV-RX570GAMING-4GD-MI),87.02,Pre-owned,15 bids,23-Aug 15:38,4.36
2,SAPPHIRE NITRO+ OC RX 570 4GB GDDR5 Graphics Card 5,89.99,Pre-owned,*Buy Now*,23-Aug 14:51,5.00
3,Asus Radeon RX 570 ROG STRIX 4GB GDDR5 GAMING GPU VIDEO CARD,91.0,Pre-owned,26 bids,23-Aug 12:15,4.10
5,PowerColor Red Devil AMD Radeon™ RX 570 4GB,78.0,Pre-owned,4 bids,23-Aug 00:43,5.00
6,MSI Radeon RX 570 8GB ARMOR Graphics Card,139.99,Brand new,*Buy Now*,23-Aug 00:41,Free
7,Cooler Fan for MSI RX470 480 570 580 GTX1080Ti 1080 1070 1060 GAMING Card ,14.53,Brand new,*Buy Now*,22-Aug 20:49,Free
8, RX 470 RX 480 RX 570 RX580 rx480 rx580 Bios MOD H.R 27/31 800+ CryptoNig mining,3.82,Brand new,*Buy Now*,22-Aug 19:49,Free
9,XFX Radeon RX 570 8GB XXX Graphics Card,147.49,Brand new,*Buy Now*,22-Aug 19:14,Free
10,ASUS AMD Radeon RX 570 8GB GDDR5 Strix Edition Graphic Card,114.0,Pre-owned,9 bids,22-Aug 18:50,Free
11,SAPPHIRE Radeon RX 570 4GB Pulse,64.43,Pre-owned,27 bids,22-Aug 18:24,22.53
12,BEST For Sapphire RX470 RX480 RX570 RX580 RX590 Graphics Cooling GPU Fan Y6O3,5.55,Brand new,*Buy Now*,22-Aug 18:18,Free
13,MSI AMD Radeon RX 570 ARMOR 8G OC GDDR5 Graphics Card,91.0,Pre-owned,18 bids,22-Aug 16:34,9.49
14,Gigabyte GTX 1070 GTX 1070ti RX580 RX570 WINDFORCE FAN PLD09210S12HH 87mm 4PIN,17.0,Brand new,*Buy Now*,22-Aug 15:06,Free
15,Asus ROG STRIX RX570 4G GAMING independent  graphics card/video card 4GB,123.91,Pre-owned,*Buy Now*,22-Aug 00:52,Free
16,Asus Radeon RX 570 ROG STRIX GAMING OC Edition 4GB GDDR5 Graphics Card GPU,81.99,Pre-owned,*Buy Now*,22-Aug 00:41,12.36
17,SAPPHIRE NITRO+ RX 570 4GB GDDR5 Graphics Card,75.0,Pre-owned,*Buy Now*,21-Aug 21:40,17.00
18,SAPPHIRE NITRO+ OC RX 570 4GB GDDR5 Graphics Card 2,89.99,Pre-owned,*Buy Now*,21-Aug 20:22,5.00
19,XFX AMD Radeon RX 570 (8GB) XXX Edition Graphics Card. 3 MONTHS OLD.,100.0,Pre-owned,1 bid,21-Aug 20:09,5.00
20,MSI Radeon Armor RX 570 4GB GDDR5 Graphics Card ,78.82,Pre-owned,*Buy Now*,21-Aug 19:53,20.29
21,SAPPHIRE NITRO+ OC RX 570 4GB GDDR5 Graphics Card,89.99,Pre-owned,*Buy Now*,21-Aug 18:10,5.00
22,XFX AMD Radeon RX 570 8GB GDDR5 Graphics Card (RX570P8DFD6),154.91,Pre-owned,9 bids,21-Aug 18:08,14.53
23,Sapphire radeon rx 570 4gb nitro +,95.0,Pre-owned,*Buy Now*,21-Aug 10:58,7.00
24,"ASUS ROG AMD Radeon RX 570 8GB GDDR5 Strix OC Edition Graphic Card, VR ready",120.0,Pre-owned,*Buy Now*,21-Aug 09:15,Free
